Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total,promo_flag,promo_q
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9.0,9.1945,180.09,1,0.25
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10.0,41.315,826.3,0,0.25
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5.0,11.1475,222.95000000000002,0,0.25
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4.0,3.574,71.48,1,0.25
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8.0,34.392,687.84,0,0.25
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10.0,36.175,723.5,0,0.25
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3.0,3.711,74.22,1,0.25
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9.0,247.815,495.63,0,0.25
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2.0,3.347,66.94,0,0.25
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6.0,29.283,585.66,0,0.25
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1.0,9.165,18.33,1,0.25
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3.0,7.278,145.56,0,0.25
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6.0,22.773,455.46,0,0.25
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10.0,20.825,416.5,0,0.25
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9.0,9.1945,180.09,1,0.25
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10.0,39.155,783.1,0,0.25
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5.0,5.095,101.89999999999999,1,0.25
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6.0,29.757,595.14,0,0.25
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3.0,14.502,290.04,0,0.25
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4.0,16.072,321.44,0,0.25
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7.0,29.071,581.4200000000001,0,0.25
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6.0,23.097,461.93999999999994,0,0.25
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4.0,9.476,189.52,0,0.25
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10.0,22.43,448.6,0,0.25
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7.0,7.693,153.86,1,0.25
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6.0,3.735,74.69999999999999,1,0.25
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9.0,10.3815,207.63,1,0.25
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9.0,15.291,305.82,0,0.25
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2.0,1.649,32.98,1,0.25
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3.0,147.315,294.63,0,0.25
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7.0,25.494,509.88,0,0.25
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9.0,363.555,727.11,0,0.25
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3.0,4.053,81.06,1,0.25
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10.0,5.48,109.60000000000001,1,0.25
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8.0,39.824,796.48,0,0.25
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8.0,22.588,451.76,0,0.25
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7.0,327.915,655.8299999999999,0,0.25
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5.0,8.0625,161.25,1,0.25
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9.0,142.785,285.57,1,0.25
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8.0,27.416,548.32,0,0.25
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9.0,40.626,812.52,0,0.25
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7.0,13.867,277.34,0,0.25
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6.0,27.639,552.78,0,0.25
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4.0,6.968,139.36,0,0.25
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6.0,24.39,487.79999999999995,0,0.25
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5.0,6.5775,131.54999999999998,1,0.25
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34.42,6.0,10.326,206.52,0,0.25
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89.8,10.0,44.9,898.0,0,0.25
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68.6,10.0,34.3,686.0,0,0.25
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30.41,1.0,1.5205,30.41,1,0.25
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6.0,23.385,467.70000000000005,0,0.25
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6.0,13.878,277.56,0,0.25
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30.14,10.0,15.07,301.4,1,0.25
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91.54,4.0,18.308,366.16,0,0.25
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6.0,4.944,98.88,1,0.25
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8.0,32.388,647.76,0,0.25
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8.0,17.272,345.44,0,0.25
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7.0,7.8785,157.57000000000002,1,0.25
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7.0,4.319,86.38,1,0.25
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8.0,37.796,755.92,0,0.25
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4.0,13.962,279.24,0,0.25
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3.0,11.556,231.12,0,0.25
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2.0,7.352,147.04,0,0.25
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9.0,39.51,790.1999999999999,0,0.25
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1.0,3.7145,74.29,0,0.25
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1.0,1.2645,25.29,1,0.25
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5.0,178.475,356.95,0,0.25
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6.0,5.745,114.89999999999999,1,0.25
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4.0,11.498,229.96,0,0.25
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9.0,10.3635,207.27,1,0.25
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9.0,299.925,599.85,0,0.25
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10.0,14.265,285.3,1,0.25
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3.0,4.5555,91.11,1,0.25
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9.0,448.785,897.57,0,0.25
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9.0,41.967,839.34,0,0.25
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7.0,10.3635,207.26999999999998,1,0.25
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5.0,6.1925,123.85,1,0.25
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3.0,14.196,283.92,0,0.25
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3.0,8.601,172.02,0,0.25
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1.0,627.0,12.54,1,0.25
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2.0,8.716,174.32,0,0.25
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6.0,27.21,544.2,0,0.25
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8.0,25.368,507.36,0,0.25
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2.0,8.137,162.74,0,0.25
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3.0,1.5885,31.77,1,0.25
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9.0,378.405,756.8100000000001,0,0.25
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2.0,9.314,186.28,0,0.25
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5.0,11.055,221.1,0,0.25
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5.0,3.305,66.10000000000001,1,0.25
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3.0,12.21,244.20000000000002,0,0.25
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2.0,1.439,28.78,1,0.25
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9.0,33.777,675.54,0,0.25
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4.0,3.29,65.8,1,0.25
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4.0,7.66,153.2,0,0.25
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10.0,11.12,222.39999999999998,1,0.25
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7.0,34.44,688.8000000000001,0,0.25
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10.0,37.3,746.0,0,0.25
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10.0,17.77,355.4,0,0.25
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5.0,168.575,337.15000000000003,0,0.25
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2.0,2.112,42.24,1,0.25
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9.0,9.693,193.85999999999999,1,0.25
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2.0,1.203,24.06,1,0.25
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6.0,29.913,598.26,0,0.25
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10.0,10.91,218.2,1,0.25
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4.0,19.084,381.68,0,0.25
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8.0,27.984,559.68,0,0.25
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1.0,767.0,15.34,1,0.25
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4.0,9.534,190.68,0,0.25
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9.0,10.6875,213.75,1,0.25
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7.0,169.785,339.57,0,0.25
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7.0,33.208,664.16,0,0.25
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1.0,3.124,62.48,0,0.25
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2.0,3.636,72.72,0,0.25
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5.0,12.98,259.6,0,0.25
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1.0,4.4305,88.61,0,0.25
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4.0,10.238,204.76,0,0.25
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8.0,5.984,119.68,1,0.25
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7.0,140.805,281.60999999999996,0,0.25
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8.0,35.516,710.32,0,0.25
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3.0,3.972,79.44,1,0.25
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2.0,8.191,163.82,0,0.25
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5.0,3.5575,71.15,1,0.25
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9.0,6.9975,139.95000000000002,1,0.25
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10.0,39.065,781.3,0,0.25
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3.0,3.162,63.239999999999995,1,0.25
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7.0,10.3845,207.69,1,0.25
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9.0,10.3185,206.37,1,0.25
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1.0,1.971,39.42,0,0.25
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5.0,154.425,308.85,0,0.25
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5.0,7.1125,142.25,0,0.25
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6.0,17.385,347.70000000000005,0,0.25
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3.0,7.1475,142.95,0,0.25
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9.0,19.269,385.38,0,0.25
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7.0,195.895,391.78999999999996,0,0.25
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7.0,26.915,538.3000000000001,0,0.25
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5.0,242.575,485.15,0,0.25
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9.0,350.685,701.3700000000001,0,0.25
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8.0,35.7,714.0,0,0.25
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10.0,6.75,135.0,1,0.25
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10.0,49.65,993.0,0,0.25
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7.0,191.555,383.10999999999996,0,0.25
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1.0,1.512,30.24,0,0.25
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4.0,17.828,356.56,0,0.25
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10.0,18.775,375.5,0,0.25
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10.0,47.72,954.4,0,0.25
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8.0,37.788,755.76,0,0.25
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4.0,8.248,164.96,0,0.25
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4.0,16.336,326.72,0,0.25
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9.0,23.094,461.88,0,0.25
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10.0,7.18,143.6,1,0.25
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7.0,9.191,183.82000000000002,1,0.25
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2.0,6.096,121.92,0,0.25
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6.0,21.033,420.65999999999997,0,0.25
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5.0,167.725,335.45000000000005,0,0.25
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5.0,24.175,483.5,0,0.25
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9.0,15.921,318.42,0,0.25
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4.0,4.73,94.6,1,0.25
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2.0,2.661,53.22,1,0.25
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5.0,249.225,498.45,0,0.25
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4.0,14.978,299.56,0,0.25
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5.0,10.235,204.7,0,0.25
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10.0,16.16,323.2,1,0.25
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9.0,243.315,486.63,0,0.25
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3.0,12.072,241.44,0,0.25
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10.0,18.975,379.5,0,0.25
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10.0,26.13,522.6,0,0.25
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1.0,3.987,79.74,0,0.25
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5.0,19.375,387.5,0,0.25
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5.0,135.675,271.35,0,0.25
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6.0,12.318,246.36,0,0.25
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6.0,11.829,236.57999999999998,0,0.25
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5.0,9.9375,198.75,0,0.25
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7.0,342.265,684.5300000000001,0,0.25
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4.0,13.742,274.84,0,0.25
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4.0,11.306,226.12,0,0.25
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5.0,5.955,119.1,1,0.25
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10.0,17.105,342.1,0,0.25
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4.0,9.076,181.52,0,0.25
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1.0,4.0755,81.51,0,0.25
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2.0,5.722,114.44,0,0.25
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7.0,8.827,176.54,1,0.25
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3.0,5.79,115.80000000000001,0,0.25
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3.0,12.6075,252.14999999999998,0,0.25
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10.0,48.605,972.0999999999999,0,0.25
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3.0,3.1305,62.61,1,0.25
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10.0,45.325,906.5,0,0.25
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6.0,7.038,140.76,1,0.25
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1.0,2.372,47.44,0,0.25
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8.0,16.344,326.88,0,0.25
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8.0,35.372,707.44,0,0.25
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9.0,401.445,802.89,0,0.25
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7.0,6.685,133.70000000000002,1,0.25
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1.0,9.575,19.15,1,0.25
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1.0,1.3535,27.07,1,0.25
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1.0,1.956,39.12,0,0.25
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6.0,22.413,448.26,0,0.25
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5.0,159.025,318.05,0,0.25
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5.0,7.39,147.79999999999998,1,0.25
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9.0,34.83,696.6,0,0.25
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10.0,23.285,465.7,0,0.25
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10.0,36.525,730.5,0,0.25
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4.0,14.79,295.8,0,0.25
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1.0,1.131,22.62,1,0.25
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10.0,27.275,545.5,0,0.25
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7.0,130.025,260.05,0,0.25
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1.0,4.942,98.84,0,0.25
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6.0,25.131,502.62,0,0.25
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4.0,8.01,160.2,0,0.25
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5.0,16.11,322.2,0,0.25
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5.0,8.315,166.29999999999998,1,0.25
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10.0,16.4,328.0,0,0.25
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10.0,18.49,369.79999999999995,0,0.25
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4.0,9.898,197.96,0,0.25
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10.0,20.545,410.90000000000003,0,0.25
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9.0,34.956,699.1200000000001,0,0.25
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2.0,3.47,69.4,1,0.25
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10.0,9.83,196.6,1,0.25
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8.0,10.128,202.56,1,0.25
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10.0,6.06,121.19999999999999,1,0.25
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2.0,6.322,126.44,0,0.25
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6.0,27.072,541.4399999999999,0,0.25
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1.0,4.9065,98.13,0,0.25
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8.0,20.608,412.16,0,0.25
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1.0,1.595,31.9,1,0.25
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2.0,9.331,186.62,0,0.25
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3.0,7.275,145.5,0,0.25
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6.0,25.215,504.29999999999995,0,0.25
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6.0,4.785,95.69999999999999,1,0.25
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7.0,31.759,635.18,0,0.25
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5.0,10.7275,214.54999999999998,0,0.25
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7.0,18.998,379.96000000000004,0,0.25
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1.0,2.5735,51.47,0,0.25
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3.0,6.8565,137.13,0,0.25
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6.0,24.951,499.02,0,0.25
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6.0,11.232,224.64,0,0.25
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5.0,228.525,457.04999999999995,0,0.25
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10.0,27.18,543.6,0,0.25
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9.0,7.3395,146.79,1,0.25
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5.0,7.08,141.6,1,0.25
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1.0,3.698,73.96,0,0.25
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73.05,4.0,14.61,292.2,0,0.25
